EJERCICIO,NRO_REINT,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE
2022,42,50010,110,1,1,1,0,1110118000,1,0,0,37674.12
2022,43,50010,110,1,1,1,0,1110118000,1,0,0,8634.83
2022,44,50010,110,1,1,1,0,1110118000,1,0,0,3567.41
2023,1,50010,110,5,1,4,0,1110106000,24,0,0,14000.0
2023,8,50008,110,1,1,1,0,1110109000,28,0,0,15739.8
2023,9,50072,110,3,4,3,0,1110102000,1,0,0,25000.0
2023,10,50031,110,5,1,4,0,1110106000,1,0,0,7500.0
2023,11,50003,110,2,9,9,0,1110102000,30,0,0,13320.0
2023,17,50031,110,5,1,4,0,1110106000,24,0,0,4000.0
2024,4,50031,110,5,1,4,0,1110106000,24,0,0,4000.0
2024,6,50008,110,1,1,1,0,1110109000,28,0,0,35663.58
2024,13,50008,110,1,1,1,0,1110105000,50,0,0,556316.6
2024,16,50099,110,5,1,7,0,1110105000,50,0,0,350000.0
2024,27,50008,110,1,1,1,0,1110105000,50,0,0,1000000.0
2025,1,50003,110,3,7,9,0,1110118000,1,0,0,88400.0
2025,3,50008,110,1,2,1,0,1110109000,28,0,0,12236.39
2025,5,50008,110,1,1,1,0,1110118000,1,0,0,2214876.4
2025,6,50008,110,1,1,1,0,1110103000,1,0,0,494964.53
2025,7,50008,110,1,1,1,0,1110104000,16,0,0,777455.24
2025,11,50008,110,1,1,1,0,1110109000,28,0,0,157808.02
2025,12,50008,110,1,3,1,0,1110102000,1,0,0,1028484.61
2025,25,50010,110,5,1,4,0,1110106000,24,0,0,20000.0
2025,14,50008,131,1,2,1,0,1110104000,16,0,0,732424.0
2025,17,395,131,2,5,2,0,1110104000,16,0,0,342420.0
2025,20,50031,110,5,1,4,0,1110106000,24,0,0,16000.0
2025,26,50010,110,5,1,4,0,1110106000,24,0,0,20000.0
2025,29,50031,110,5,1,4,0,1110106000,24,0,0,20000.0
2019,9,50010,110,5,1,4,0,1110106000,24,0,0,1000.0
2019,14,50010,110,1,1,1,0,1110104000,16,0,0,44649.99
2019,26,50010,110,5,1,4,0,1110106000,24,0,0,650.0
2019,59,50031,110,5,1,4,0,1110106000,24,0,0,6100.0
2019,60,50031,110,5,1,4,0,1110106000,1,0,0,3100.0
2020,1,50036,110,3,1,4,0,1110101000,1,0,0,537.85
2020,7,50087,110,5,1,4,0,1110106000,24,0,0,1400.0
2020,8,50031,110,5,1,4,0,1110106000,24,0,0,700.0
2020,9,50031,110,5,1,4,0,1110106000,24,0,0,700.0
2020,10,50031,110,5,1,4,0,1110106000,24,0,0,700.0
2020,11,50031,110,5,1,4,0,1110106000,24,0,0,1350.0
2020,13,50031,110,5,1,4,0,1110106000,24,0,0,150.0
2020,21,50031,110,5,1,4,0,1110106000,1,0,0,700.0
2020,22,50031,110,5,1,4,0,1110106000,24,0,0,700.0
2020,26,50349,132,3,8,2,0,1110102000,33,0,0,5749.31
2021,9,50010,110,1,2,1,0,1110102000,1,0,0,6177.85
2021,13,50008,110,1,1,1,0,1110109000,28,0,0,129588.64
2021,14,50008,110,1,1,1,0,1110102000,1,0,0,9778.4
2021,15,50008,110,1,1,1,0,1110102000,1,0,0,9778.4
2021,16,50342,132,5,1,3,0,1110102000,33,0,0,2919.54
